"id","url","publication_title","description","status","g_status","title","status_writer"
27996,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001287/18470814/014/0002","Belfast Commercial Chronicle","... been the faults which be had been guilty. The indentures were then given np, and the parties left the court. Tkt Belfati Election, Some interest was excited concerning complaint of the deputy-assessors against the Mayor for wages, which ha« been entered ...",1,"7","ANNUAL MEETING Off THE BOTAL","xgboost_description"
127797,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000249/18470807/009/0002","Leamington Spa Courier","... about three ago, a   from the up country landed about si* sacks of flour in Newport, which were stored up.'jtf*' Cattle Market. The price obtainable since tbat perio tli* at one time about 80s. per sack, which was refused. * f»   wanted from 84s ...",1,"","The Evil or Kerping Corn too Long.We have been informed, on good authority, that about three ago, a party from","xgboost_description"
127970,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000193/18470731/103/0008","Leeds Intelligencer","... some days before Mr. Cheethams   bad employed a band of music and several banner-bearers to go about the town and the out skirts, and these were followed by a motley group of the idle and curious. Mr. Stansfields   remained almost quiescent until ...",1,"","PONTEFRACT BOROUGH ELECTION. The nomination of candidates for this borough took place at the Town Hall, on ..","xgboost_description"
127983,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000352/18470731/020/0004","Hertford Mercury and Reformer","... any  . He had, however, been asked to what   he belongtd ; but   were so mixed at the* present moment that it was difficult for any one to say to what   he belonged; it was difficult to define any   but the Protection ...",1,"","ST. ALBAN'S ELECTION","xgboost_description"
128004,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001669/18470731/080/0004","Norwich Mercury","... need only appeal to their good understanding to ensure order ana an impartial hearing to every   who should address them. (Cheers.) had been a strong   roan in his time, but he had always been ready to demand for every man a fair and impartial hearing ...",1,"","NOMINATION of the CANDIDATES","xgboost_description"
128045,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000336/18470821/018/0005","Leeds Times","... agreed to sink tbe questio vexata upon which they splitâ€”tbe education questionâ€”we were sanguine enough to hope chat each   would tacitly consent to allow by-gones to be bygones, and work together hereafter for the good of the Liberal cause. Not ...",1,"","LOCAL NEWS","xgboost_description"
128068,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000366/18470731/028/0006","Newcastle Guardian and Tyne Mercury","... public house the   stopped, when another body of men, with whom was the prisoner Hamilton, came out of the house, and after some words had passed between the prisoners they stripped and proceeded to fight. As the tight went on,   spirit waxed high ...",1,"","DURHAM MIDSUMMER ASSIZES","xgboost_description"
128073,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000612/18470806/007/0001","Durham County Advertiser","... having alighted, iu a few minutes, accompanied most numerous   his friends and sup- i porters, proceeded to the county courts, whither Mr. Shatio had immediate! v preceded biui. Mr. Sliaftw'a   bad taken up their positiou the bench at the right the ...",1,"","MESSRS. UoWMA.N AND WAT SO V, AUCTIONEERS,","xgboost_description"
128139,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000206/18470828/035/0007","Manchester Courier and Lancashire General Advertiser","... defendants had been partnership in the cotton trade with Mr. James Taylor, who was one of the   to the effecting the loan. In December last the   applied for two loans of 10/. each, one for tho firm, and the ether also for the farm, but to ...",1,"","News of the Neighbouring Towns","xgboost_description"
128166,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001100/18470820/062/0008","Nottingham Review and General Advertiser for the Midland Counties","... punch were also allowed in sufficient quantity to avoid excess. Music was likewise engaged for a merry dance, and some of the  , although numbering the years of three score and ten, kept up the festivity and rejoicing with much spirit until the setting ...",1,"","NOTTINGHAM REVIEW","xgboost_description"
128206,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000950/18470817/059/0003","Cumberland Pacquet, and Ware's Whitehaven Advertiser","... accounts will prove very unfavourable, and that many smaller  , especially among the Irish houses, will lie pulled down. About *lOO,OOO are alleged to be the liabilities of the   at Stockton, with regard to whom it has been asserted that a ...",1,"","WEST CrMBERLANO ELECTION","xgboost_description"
128230,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000361/18470731/012/0003","Salisbury and Winchester Journal","... with truth, that, with regard to   politics, every thing was in abeyance. There was no great national   yet formed. There were, it was true, the Government  , the Peel  , and the Lord George Bentinck  . He was afraid Lord ...",1,"","SALISBURY ELECTION","xgboost_description"
128249,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000350/18470811/042/0007","Worcestershire Chronicle","... counties or boroughs there is such a unanimity of feeling, such a unanimity of principles put forward by all  , that we might hire one   to conduct them for us both, to the great saving of expense. (Cheers and laughter.) I can only say that, however ...",1,"","EAST WORCESTERSHIRE ELECTION","xgboost_description"
128251,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000354/18470730/038/0006","Lincolnshire Chronicle","... light a light for them, one of the   cried out, ' Hit her, and don't let her.' They then dragged brother out of the room. I went to save him, and asked them for the love and honour of God not to kill my brother. The   said, ' Bring him out,' When they ...",1,"","Sunday to Thursday's Post","xgboost_description"
128302,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000938/18470819/039/0004","Brighton Gazette","... n and re-combination of   ; nor are we, perhaps, disposed to dispute the accuracy of this position. But where, ask, are the elements of such recombination to be found, if he who has already broken the Conservative   into sections, continues ...",1,"","BRIGHTON GAZETTETHURSDAY, AUGUST 19, 1847","xgboost_description"
128323,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000099/18470814/031/0007","Preston Chronicle","... months ago, a   frem.tho up country landed about six hun- dred sacks of flour in Newport, which were stored up in the cattle market. The price obtainable since that period was at one time about 80s. per sack, which was refused, as the   wanted from ...",1,"","MISCELLANOEUS NEWS","xgboost_description"
128404,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000298/18470731/003/0002","Leicestershire Mercury","... connected with the Nomination. Each   mustered numerously on the bust ings, and the supporters of each ranged themselves opposite their respective representatives on the platform. 1 he ranks of the Liberal   had a decided preponderance number and ...",1,"","THE NOMINATION OF THE CANDIDATES","xgboost_description"
128452,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000398/18470818/003/0002","Hereford Journal","... after this a row was very readily got up between a   of agricultural labours coming from the Beaufort Arms, and the navigators and others round the hustings, favourable to Lord Granville's  , when a rush was made towards the town-gate, followed ...",1,"","THE ELECTIONS","xgboost_description"
128458,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0002212/18470825/032/0002","Cheltenham Examiner","... Serie eine the appendatent, has may year r Sarmatian Apr it the Literal  . We her met yet bred de is.. of re earner. W. is remained barite dr dation of the the Cameartive  . TIM 1.101 use PAWNS RITES. I Tbe Conditioners hold a weld waft psitorasy ...",1,"","CIiSLTENHAN STAG HOUNDS","xgboost_description"
128522,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000083/18470807/039/0012","Manchester Times","... was injured. The whole was the work an instant, and, it quite unnecessary to say, arose without orders from myself or other  , and entirely out of the confusion created the breaking of the barrier, and the consequent the people upon the police, which ...",1,"","MANCHESTER TOWN COUNCIL MEETING","xgboost_description"
128624,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001427/18470728/032/0004","Morning Advertiser","... public-house and take the   out. The regulations of the police force prohibited police-constables from entering public-houses to suppress brawls. The landlord was master of his own bouse, and he was told, to eject the   fighting. The policeman ...",1,"","DOGGETT'S COAT AND BADGE","xgboost_description"
128803,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000051/18470828/008/0003","London Daily News","... that that document had originated with him (Mr. Winch) or his  , but he rather thought Mr. Talbot's   knew more about it than his. In fact, he believed it have emanated from that  . A discussion then arose as to which amendment should be put ...",1,"","THE ANTI-SANITARIANS OF ST. ANDREWS, HOLBORN","xgboost_description"
128856,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000992/18470814/043/0003","Oxford University and City Herald","... constituency, and yet has been successful; has been the case with many others the course of the recent elections. The several  , nccordinjr to the list given in the of yesterday, have succeeded in securing the following seats respectively. Liberals, ...",1,"","OXFORD UNIVERSITY, CITY, AND COUNTY HERALD, SATURDAY, AUGUST 14, 1847","xgboost_description"
128862,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001653/18470806/054/0006","Durham Chronicle","... power it you change your opinion for the purpose maintaining llie interests of   against the interests of the whole community if, through the change opinion, vou gain   strength, and confirm yourself in powersuch change of opinion ought to bring ...",1,"","~ a AAA.insfinn an Wadneidav i Is that a harvest when corn is at 90* or 100 s a -","xgboost_description"
128945,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0002212/18470804/032/0002","Cheltenham Examiner","... record the pod Meng which prevailed throughout. the mental   weeded ink way home to the game order in which Way had arrived. The blue made a detour through the unapt thansghlares t but neap   repaired Weight their Onenlittee4ooo. tee the Othe evening ...",1,"","CHELTENHAM ELECTION DOINGS","xgboost_description"
128972,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001100/18470820/019/0002","Nottingham Review and General Advertiser for the Midland Counties","... Bankrupt. hare received nothing. Mr. Wakefield. Then these   still owe you either money or scrip f The Bankrupt. I consider they do. Mr. Wakefield. Now did you not join these   or some of them, in a speculation in the Nottingham and M ...",1,"","hearted, allowance making society ! Thou eanst wink quite piously a score of meannesses, and hug rascality and ..","xgboost_description"
129141,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000083/18470814/027/0008","Manchester Times","... New Blown -street, as occupiers of the warehouses and offlces, were as follow (but will lie seen below, one or two of these   had either ceased to hotd the premises, or had stocks in them to little amount as ll'* to need particular mention):So. 2 ...",1,"","GREAT DESTRUCTION OF PROPERTY BY FIRE IN MARKET-STREET","xgboost_description"
129228,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000099/18470821/028/0007","Preston Chronicle","... punch were also allowed in sufficient quantity to avoid excess. Music was likewise engaged for a merry dance, and some of the  , although numbering the years of three score and ten, kept up the festivity with much spirit until the setting sun closed the ...",1,"","MISCELLANEOUS NEWS","xgboost_description"
129236,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000981/18470821/049/0004","Bristol Times and Mirror","... for seven days the   were shut in. till the cow was declared cut up. and the claret on the stoop, when the last gallon was mulled with spices, and drank in tumblers to their next merry meeting. Ihe same writer describes a   given unfinished room ...",1,"","BRISTOL TIMES,","xgboost_description"
129320,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000336/18470731/030/0005","Leeds Times","... adduce the case of two men, one from each of the leading   of the state. Now lam K oin B t0 refer t0 tee opinion of a still more eminent man ; a man of whom in his presence during the heat of   conflicts I never said one word of disrespect, and with ...",1,"","TAMWORTH","xgboost_description"
129365,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000408/18470805/040/0003","Dorset County Chronicle","... contest wa», the eleventh hour, rendered ver? anxiou. one the Conseivaiive  , the retirement of Mr. Melville Portal, who was broagbt into the field Conservative by section of the  , but met with only partial accessthe Protestant Institution and several ...",1,"","HAMPSHIRE","xgboost_description"
129494,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000350/18470825/016/0004","Worcestershire Chronicle","... several varieties of meats and vegetables were roasted, boiled, fried, stewed, and otherwise cooked, and served up to the  , who one and all expressed their surprise at the excellence of this mode dressing, and entire absence of any gaseous taste ...",1,"","LOCAL NEWS","xgboost_description"
129508,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000421/18470814/001/0001","Cambridge Chronicle and Journal","... to take, lie trunlel I tiler his   that leailer was true : but b* fouiul liunm'll «l. c» iTetl. lie great wn, n-act.on. Mr. N orke then itKtk tbe part which was incumbent him tke a ...",1,"","CAMBRIDGE. THE COUNTY ELECTION. 11.** VctHMi ol Ihn*' knights tin* shir** to the ( ainbriilir> I n*!* of hly ..","xgboost_description"
129536,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000249/18470828/010/0003","Leamington Spa Courier","... I have said I could get a load for Bs. 6d. or 9s. a ton, going to any expense, from Tipton, about four miles from Dud]/ a   hired a boat from me should not charge more than JJJ* a day, including tbe man, boy, and horse-keep. The rock work be collected ...",1,"","WARWICK NEW COUNTY COURT","xgboost_description"
129544,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000430/18470814/001/0001","Kendal Mercury","... after the death Mr Dawes, the same   took out lettorsof administration, virtue of which proceeded to dispose of all his goods. Among othor acts, he took possession; of his house, out of which he remove! tho   who was in occupation, and sold it ...",1,"","LANCASTER MIDSUMMER ASSIZES","xgboost_description"
129567,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000155/18470819/020/0006","Bradford Observer","... said that the proper course was to order the   be- fore the board. A Guardian : Who has been sending to them ? Mr. Newby : May it not be Dr. Caton who has sent ? Mr. H. Brown moved that all the   be brougbt there. Mr. Edward Wilson thought ...",1,"","BOARD OF GUARDIANS","xgboost_description"
129570,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000099/18470814/032/0007","Preston Chronicle","... and went to the White Hart Ie~ Inln. There, meeting with a fiddler, lie played in can- ion junction with him' to a select   of villagers, among' ,as' whom were Messrs. Thomas Bray, Milthorp; &e. At a ledN late hour, the house was attacked by a number ...",1,"","ACCIDENTS & OFFENCES","xgboost_description"
129577,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000230/18470814/033/0003","Hampshire Chronicle","... person or persons convicted, cither oue time, or instalments at such periods as the Court may deem reasonable, and the   or   so ordered to pay shall be liable to sued for the same debt any court which debts may be by law recovered, with costs ...",1,"","LONDON, FRIDA Y","xgboost_description"
129579,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000091/18470731/064/0016","Northern Star and Leeds General Advertiser","... of'   Al known to exist among the Mexicans themselves. Ml Since he has been in Mexico Gen. Scott has been in all close and constant communication with some of the lot leradig meon of the Republic, and the result was flee go I omtion ofa   decidedly ...",1,"","Foreign Intelligence","xgboost_description"
129703,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000336/18470828/018/0004","Leeds Times","... LOCAL NEWS. LEEDS, SATURDAY, Aug. 28. Mr. Cobden and the West-Ridino.Some of the Tory journals are felicitating their   upon what the* trZ l\~ F° Sn T ° f Mr - Cob ' ien ' 9 oetem.nat.on to etajj for Stockport, and give up the West-Rid ing. Their ...",1,"","LOCAL NEWS","xgboost_description"
129707,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001292/18470814/058/0006","Bolton Chronicle","... the Metropolitan police on Sunday morning an elopement of distressing character that took place on the preceding day. The   are represented to have eloped from the house of the injured husband, highly respectable clergyman of the Church of England ...",1,"","TMF. BOLTON CHRONICLE AND SOUTH LANCASHIRE ADVERTISER, Saturday. August 14, 1847","xgboost_description"
129880,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001316/18470813/034/0005","Evening Mail","... London who spent their time, wasted having said or anything to provoke the  , and not their means, and rained their families, dissipation, having even a riband designate which   be(Cheers.) The case did not apply all regarded Scotland; longed, but ...",1,"","DUMBARTONSHIRE","xgboost_description"
130011,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000384/18470820/016/0004","Coventry Herald","... been obtained, howeverthe scathing contest whiph Newdegate and have had to encounter, are symptoms full hope the Liberal  . The majority, out a constituency above six thonsand electors, is considerably less than two hundred; and when this comparatively ...",1,"","NEWS OF THE WEEK","xgboost_description"
130155,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001083/18470827/025/0002","Derbyshire Advertiser and Journal","... that one of them might meet her eye. Measures had been taken to dispatch a   armed men charged with the dispersion of the handkerchiefs and the rescue the woman. The   left Melbourne the 22nd October iu the Shamrock steamer ; from which, when ...",1,"","IRELAND","xgboost_description"
130260,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001653/18470730/033/0003","Durham Chronicle","... publichouse the   stopped, when another body of men, with whom was the prisoner Hamilton, came out of the house, and after some words had passed between the prisoners, they stripped and proceeded to fight. As the fight went on,   spirit waxed high ...",1,"","IORHAM SUMMER ASSIZES*","xgboost_description"
130272,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000265/18470814/017/0005","Western Times","... Mr. Hume has been returned for Montrose a majority of 301 over Mr. Greenhill, who was brought forward by the Free Church  , but the voters refused to follow the example ol Edinburgh. .  . Sir George Grey has beaten the nominees of the Duke of ...",1,"","LATEST INTELLIGENCE","xgboost_description"
130281,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000183/18470816/036/0004","London Evening Standard","... known that certaiu   charged with forgeries and publishing a will and codicil, purporting to be the tes:ament of the late Mr. Wm. Slack, of this city, were to be placed at the bar for examination. The names of the accused   are John Ford, John ...",1,"","SUSPECTED FORGERY OF A WILL AND.CODICIL","xgboost_description"
130284,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000053/18470815/013/0006","The Era","... _Hobsz.,-A match, was commenced here on Monday4lat, beingE. Paul's benefit, but owing to the dulness of the weather-the   met so late'as to preclude an ?? each-being played out hSt. John's Wood obtained 134 'runs.- and ?? scored 72 for the loss ...",1,"","CRICKET","xgboost_description"
130291,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000938/18470826/049/0004","Brighton Gazette","... James. On Wednesday the Royal   risited the Duke of Argyle at Inrerary, anil were receired with highland booonra. The freedom of the burgh presented to Prince Albert by tbs Lord Prorost. In the afternoon the Queen and   re-embarked, and the squadron ...",1,"","BRIGHTON GAZETTETHURSDAY, AUGUST 26, 1847","xgboost_description"
130341,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000830/18470814/019/0004","Newry Examiner and Louth Advertiser","... they seised, Cahills   erected four strong barriers across the passage, which is a narrow lane, and aheut thirty perches from the main road, with blocks of wood, large stones, and broken carts, to revent the egress of the   with the corn. At alf-past ...",1,"","MA.N WILL EVER DECEIVE","xgboost_description"
